Store,Cluster Manager,Division,Section,Department,Assort,Promo Type,Brand,MNF,Design No,Colour,RSP,Option,Size,Ref,Sales Qty,Stk Qty,Sales Value
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,BLACK,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTBLACK200,S/86 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,1,200.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,BROWN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTBROWN200,2XL/1.07 m,ADLADIES ETHNICKURTIKURTI SHORT,4,3,600.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,BROWN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTBROWN200,3XL/1.12 m,ADLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,BROWN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTBROWN200,M/91 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,4,800.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,BROWN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTBROWN200,S/86 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,2,400.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,BROWN,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTBROWN200,XL/1.02 m,ADLADIES ETHNICKURTIKURTI SHORT,4,3,600.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,CORAL,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTCORAL200,2XL/1.07 m,ADLADIES ETHNICKURTIKURTI SHORT,4,1,200.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,CORAL,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTCORAL200,3XL/1.12 m,ADLADIES ETHNICKURTIKURTI SHORT,4,4,800.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,CORAL,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTCORAL200,M/91 cm,ADLADIES ETHNICKURTIKURTI SHORT,4,1,200.00
AD,Pintu Singh,LADIES ETHNIC,KURTI,KURTI SHORT,PRINT 38_46,FRESH,WAYSIDE,GEETA,ODP CUT,CORAL,200,LADIES ETHNICKURTIKURTI SHORTPRINT 38_46FRESHWAYSIDEGEETAODP CUTCORAL200,XL/1.02 m,ADLADIES ETHNICKURTIKURTI SHORT,4,1,200.00
